number,station,year,JUN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,sum
1,กรุงเทพมหานคร,2009,0,0,30.2,359.6,463.4,219.3,175.7,354,351.8,264.2,46.5,7.3,2272
2,กรุงเทพมหานคร,2010,99.9,2.9,14.6,17.3,279.3,198.8,348.7,343.1,409.5,256.3,30.6,22.7,2023.7
3,กรุงเทพมหานคร,2011,0.3,21.8,173.3,134.7,296.5,411.9,317.6,297,223.6,362,0.9,0.7,2240.3
4,กรุงเทพมหานคร,2012,44.2,64.9,24.1,56.1,121.9,134.8,196.4,186.6,601.1,201.2,88.9,8.1,1728.3
5,กรุงเทพมหานคร,2013,41.2,7.4,38,89.9,149.2,175.6,200.1,233.6,364.1,392.3,79.9,1.6,1772.9
6,กรุงเทพมหานคร,2014,0,2.1,39.6,7.8,99.9,147.4,98.2,276,188,217.9,22.2,31,1130.1
7,กรุงเทพมหานคร,2015,3.5,16.8,183.9,128.9,82.5,456.5,220.8,50.5,352.4,334.2,34.9,42.7,1907.6
8,กรุงเทพมหานคร,2016,72.6,0,54.1,31.1,101.7,464.4,162.7,348.8,356,293.8,121.7,0,2006.9
9,กรุงเทพมหานคร,2017,45.1,0,106.3,13.4,486.7,228.8,319.6,370.7,445.8,561.3,45.6,52.5,2675.8
10,กรุงเทพมหานคร,2018,131.2,46.9,76.4,229.6,72.7,135.7,202.4,166.5,314.3,311.1,14.2,67.2,1768.2
11,กรุงเทพมหานคร,2019,1.1,0,9.2,38.8,89.3,151.3,146.4,97.8,357.7,-,-,-,891.6
